series,family,mode,param_name,param,ef,config_label,experiment,mean_recall,mean_query_qps,file
SymphonyQG off,SymphonyQG,off,d,32,120,SymphonyQG d32/ef120,ef-120-degree-32,0.68058,3926.5592247511586,../results/msong/streamseed_hybrid_symphonyqg_grid_off/ef-120-degree-32/ef-120-degree-32_final_results.csv
SymphonyQG off,SymphonyQG,off,d,64,40,SymphonyQG d64/ef40,ef-40-degree-64,0.6623600000000001,4718.450962579602,../results/msong/streamseed_hybrid_symphonyqg_grid_off/ef-40-degree-64/ef-40-degree-64_final_results.csv
SymphonyQG off,SymphonyQG,off,d,64,120,SymphonyQG d64/ef120,ef-120-degree-64,0.6815300000000001,3326.229573652335,../results/msong/streamseed_hybrid_symphonyqg_grid_off/ef-120-degree-64/ef-120-degree-64_final_results.csv
SymphonyQG off,SymphonyQG,off,d,96,40,SymphonyQG d96/ef40,ef-40-degree-96,0.66759,3958.5211067552846,../results/msong/streamseed_hybrid_symphonyqg_grid_off/ef-40-degree-96/ef-40-degree-96_final_results.csv
SymphonyQG off,SymphonyQG,off,d,96,120,SymphonyQG d96/ef120,ef-120-degree-96,0.6830300000000001,3008.1521692021065,../results/msong/streamseed_hybrid_symphonyqg_grid_off/ef-120-degree-96/ef-120-degree-96_final_results.csv
SymphonyQG on,SymphonyQG,on,d,32,40,SymphonyQG d32/ef40,ef-40-degree-32,0.6633499999999999,9238.930041567457,../results/msong/streamseed_hybrid_symphonyqg_grid_on/ef-40-degree-32/ef-40-degree-32_final_results.csv
SymphonyQG on,SymphonyQG,on,d,32,120,SymphonyQG d32/ef120,ef-120-degree-32,0.682,8003.36247057175,../results/msong/streamseed_hybrid_symphonyqg_grid_on/ef-120-degree-32/ef-120-degree-32_final_results.csv
SymphonyQG on,SymphonyQG,on,d,64,40,SymphonyQG d64/ef40,ef-40-degree-64,0.6674399999999998,7413.177048789728,../results/msong/streamseed_hybrid_symphonyqg_grid_on/ef-40-degree-64/ef-40-degree-64_final_results.csv
SymphonyQG on,SymphonyQG,on,d,64,120,SymphonyQG d64/ef120,ef-120-degree-64,0.68265,6678.9795194384105,../results/msong/streamseed_hybrid_symphonyqg_grid_on/ef-120-degree-64/ef-120-degree-64_final_results.csv
SymphonyQG on,SymphonyQG,on,d,96,40,SymphonyQG d96/ef40,ef-40-degree-96,0.6745299999999999,6580.976777317854,../results/msong/streamseed_hybrid_symphonyqg_grid_on/ef-40-degree-96/ef-40-degree-96_final_results.csv
SymphonyQG on,SymphonyQG,on,d,96,120,SymphonyQG d96/ef120,ef-120-degree-96,0.68399,5489.6363959512355,../results/msong/streamseed_hybrid_symphonyqg_grid_on/ef-120-degree-96/ef-120-degree-96_final_results.csv
