batch_idx,recall,query_qps,mode,series,file
26,0.73911,29747.512000272345,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
27,0.73936,29676.03533130885,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
28,0.7395700000000001,29898.577461214503,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
29,0.7393700000000001,25159.873078550274,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
30,0.7392400000000001,25027.131087217964,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
31,0.73881,24818.42560574108,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
32,0.73813,24185.033812770434,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
33,0.73869,29660.086385635204,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
34,0.7383200000000001,29449.542701550447,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
35,0.7376900000000002,26005.346075602025,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
36,0.7365800000000001,25286.15118211398,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
37,0.73741,29232.14382789272,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
38,0.7371700000000001,27705.123302029773,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
39,0.7372700000000001,27906.183965326494,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
40,0.73728,27797.688765702536,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
41,0.73726,27209.492036191143,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
42,0.7370899999999999,29803.31521862707,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
43,0.73695,29824.295439645375,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
44,0.7367,29815.306356014735,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
45,0.73676,26443.57894693789,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
46,0.7367500000000001,24463.506495899,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
47,0.7365500000000001,23661.74172547825,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
48,0.7365600000000001,23123.94284819576,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
49,0.7364700000000001,22927.261238135427,briskseed,HNSW-BriskSeed,../results/sift/draw-10w/HNSW-BriskSeed_final_results.csv
0,0.72907,12846.789123739649,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
1,0.72851,13672.626935522596,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
2,0.7283800000000001,12837.1533072852,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
3,0.7273200000000001,13053.350151523859,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
4,0.72557,13189.729619885595,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
5,0.7256299999999999,13196.770333953158,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
6,0.72455,12467.246852303382,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
7,0.7239,13402.227479179955,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
8,0.7228600000000001,11529.829277980967,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
9,0.7208100000000001,10456.512263822067,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
10,0.7256800000000001,11756.396199769506,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
11,0.7202700000000001,11074.610905087115,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
12,0.71901,11209.24682474461,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
13,0.7186900000000002,11360.54568559427,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
14,0.7186300000000001,12224.745299832848,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
15,0.71751,11677.589367871695,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
16,0.71324,11015.268548837861,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
17,0.71647,12237.317905043665,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
18,0.7158399999999999,11742.539884500677,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
19,0.71475,11131.183100086693,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
20,0.71475,12060.684366912681,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
21,0.71457,11446.419864494112,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
22,0.71346,12444.614993576384,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
23,0.71296,12022.185257409177,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
24,0.7121999999999999,12109.433163314407,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
25,0.7117600000000001,11599.77856740857,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
26,0.7117400000000002,11451.727531982106,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
27,0.7120400000000001,11435.315223125615,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
28,0.7109199999999999,11045.645353563197,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
29,0.7108800000000001,11289.562756294743,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
30,0.7101400000000001,12098.302399101585,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
31,0.7100900000000001,12247.90724114033,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
32,0.7088899999999999,11225.426755206281,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
33,0.7094199999999998,11055.92802833107,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
34,0.7083200000000001,11694.596311478266,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
35,0.7089200000000001,11428.242387968063,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
36,0.7087600000000001,11879.188737453953,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
37,0.70701,11591.171376985152,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
38,0.7072300000000001,11715.065784236642,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
39,0.7075,11916.518129581635,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
40,0.7077600000000001,11818.791662635618,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
41,0.7067100000000002,11082.194471282357,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
42,0.7083299999999999,11555.713106270507,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
43,0.7059699999999999,11461.532821084338,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
44,0.70621,10665.631430054778,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
45,0.7051,11139.509992696368,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
46,0.7047,10888.031950449289,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
47,0.7042499999999999,11580.375713712483,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
48,0.7043200000000001,11495.684634338197,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
49,0.7045,11682.316388455753,hnsw,HNSW,../results/sift/draw-10w/HNSW_final_results.csv
