mode,series,batch_idx,mean_query_qps,mean_recall,runs
on,HNSW-BriskSeed,5,62331.80974847786,0.878997,5
on,HNSW-BriskSeed,6,57144.50482964118,0.87938,5
on,HNSW-BriskSeed,7,48870.692758737285,0.8816860000000002,5
on,HNSW-BriskSeed,8,49281.71564354744,0.8817160000000002,5
on,HNSW-BriskSeed,9,48759.03720384867,0.8818290000000001,5
on,HNSW-BriskSeed,10,48814.2680666065,0.8843,5
on,HNSW-BriskSeed,11,49184.33000526527,0.8844790000000001,5
on,HNSW-BriskSeed,12,48887.01195083007,0.882531,5
on,HNSW-BriskSeed,13,48771.593263454284,0.883816,5
on,HNSW-BriskSeed,14,49112.231628723,0.885931,5
on,HNSW-BriskSeed,15,48247.421139692,0.883826,5
on,HNSW-BriskSeed,16,48846.54387680629,0.884976,5
on,HNSW-BriskSeed,17,47884.422045379,0.885219,5
on,HNSW-BriskSeed,18,48882.12864814024,0.885271,5
on,HNSW-BriskSeed,19,48731.38088028766,0.8865640000000001,5
on,HNSW-BriskSeed,20,49374.644439533324,0.886064,5
on,HNSW-BriskSeed,21,47566.89883084666,0.8871550000000001,5
on,HNSW-BriskSeed,22,48956.17750346075,0.886518,5
on,HNSW-BriskSeed,23,48775.565862245225,0.887094,5
on,HNSW-BriskSeed,24,46758.855969805394,0.887363,5
on,HNSW-BriskSeed,25,47003.427725975795,0.8868390000000002,5
on,HNSW-BriskSeed,26,46180.12789317536,0.8879380000000001,5
on,HNSW-BriskSeed,27,46953.98152692214,0.888374,5
on,HNSW-BriskSeed,28,46528.37988664572,0.8890340000000002,5
on,HNSW-BriskSeed,29,47299.118714240176,0.8879370000000002,5
on,HNSW-BriskSeed,30,46995.30876620491,0.887495,5
on,HNSW-BriskSeed,31,47494.29319283216,0.8878620000000002,5
on,HNSW-BriskSeed,32,47358.97635012136,0.8887,5
on,HNSW-BriskSeed,33,46896.95211990973,0.88749,5
on,HNSW-BriskSeed,34,47162.313815453745,0.887054,5
on,HNSW-BriskSeed,35,47060.532899625716,0.8864850000000001,5
on,HNSW-BriskSeed,36,46010.421903224305,0.8862650000000001,5
on,HNSW-BriskSeed,37,46807.494465111966,0.885696,5
on,HNSW-BriskSeed,38,46394.98179838424,0.8866710000000001,5
on,HNSW-BriskSeed,39,46868.74463275694,0.885387,5
on,HNSW-BriskSeed,40,47181.63658456152,0.8869100000000001,5
on,HNSW-BriskSeed,41,46763.39666325975,0.8864050000000001,5
on,HNSW-BriskSeed,42,46823.66231386976,0.8857900000000001,5
on,HNSW-BriskSeed,43,47512.233470907944,0.8864930000000001,5
on,HNSW-BriskSeed,44,46787.1260348163,0.885322,5
on,HNSW-BriskSeed,45,47435.26320037931,0.885829,5
on,HNSW-BriskSeed,46,46180.12395052031,0.884845,5
on,HNSW-BriskSeed,47,47492.75773575923,0.8857630000000001,5
on,HNSW-BriskSeed,48,47104.02819294242,0.885938,5
on,HNSW-BriskSeed,49,47159.70916644038,0.8865630000000001,5
